,trans_date,data
ef1bcca724f3,7/14/2017,289658.9157
ef1bcca724f3,7/15/2017,336725.7629
ef1bcca724f3,7/16/2017,274924.7962
ef1bcca724f3,7/17/2017,195151.9155
ef1bcca724f3,7/18/2017,186560.3736
ef1bcca724f3,7/19/2017,205196.9775
ef1bcca724f3,7/20/2017,236304.2778
ef1bcca724f3,7/21/2017,293850.126
ef1bcca724f3,7/22/2017,361614.9399
ef1bcca724f3,7/23/2017,291324.2294
ef1bcca724f3,7/24/2017,154781.5087
ef1bcca724f3,7/25/2017,227630.1673
ef1bcca724f3,7/26/2017,208515.0297
ef1bcca724f3,7/27/2017,227202.9786
ef1bcca724f3,7/28/2017,293722.6263
ef1bcca724f3,7/29/2017,348505.3459
ef1bcca724f3,7/30/2017,287909.0647
ef1bcca724f3,7/31/2017,182535.3907
ef1bcca724f3,8/1/2017,188967.7693
ef1bcca724f3,8/2/2017,233905.5741
ef1bcca724f3,8/3/2017,231311.7124
ef1bcca724f3,8/4/2017,331314.7343
ef1bcca724f3,8/5/2017,343226.3987
ef1bcca724f3,8/6/2017,302240.5588
ef1bcca724f3,8/7/2017,167146.7701
ef1bcca724f3,8/8/2017,205788.8429
ef1bcca724f3,8/9/2017,218763.4909
ef1bcca724f3,8/10/2017,230854.9954
ef1bcca724f3,8/11/2017,311844.6612
ef1bcca724f3,8/12/2017,354126.0228
ef1bcca724f3,8/13/2017,317084.4781
ef1bcca724f3,8/14/2017,176526.5229
ef1bcca724f3,8/15/2017,182789.3944
ef1bcca724f3,8/16/2017,197532.4563
ef1bcca724f3,8/17/2017,219154.3341
ef1bcca724f3,8/18/2017,302186.0722
ef1bcca724f3,8/19/2017,363654.4636
ef1bcca724f3,8/20/2017,308301.1585
ef1bcca724f3,8/21/2017,153393.1264
ef1bcca724f3,8/22/2017,190718.9079
ef1bcca724f3,8/23/2017,196175.257
ef1bcca724f3,8/24/2017,199188.1863
ef1bcca724f3,8/25/2017,274581.7526
ef1bcca724f3,8/26/2017,308481.5032
ef1bcca724f3,8/27/2017,293813.9043
ef1bcca724f3,8/28/2017,168272.5361
ef1bcca724f3,8/29/2017,202756.631
